City,Attraction,Latitude,Longitude,Description
Amsterdam,Rijksmuseum,52.36,4.8852,National museum dedicated to Dutch arts and history.
Amsterdam,Anne Frank House,52.3752,4.884,Historic house where Anne Frank hid during WWII.
Amsterdam,Van Gogh Museum,52.3584,4.8811,World's largest collection of artworks by Vincent van Gogh.
Amsterdam,Vondelpark,52.358,4.8686,The city's most famous and largest public park.
Amsterdam,Dam Square,52.3731,4.8926,The historic center of Amsterdam and site of the Royal Palace.
Amsterdam,Heineken Experience,52.3578,4.8917,Interactive museum in the former brewery of the pilsner brand.
Amsterdam,Stedelijk Museum,52.358,4.8797,Major museum for modern and contemporary art and design.
Amsterdam,Rembrandt House,52.3693,4.9013,The former home and workshop of the painter Rembrandt.
Amsterdam,A'DAM Lookout,52.3842,4.9023,Observation deck with a 360-degree view of the city.
Amsterdam,Jordaan District,52.3725,4.8792,Charming neighborhood known for its narrow canals and boutiques.
Athens,Acropolis,37.9715,23.7257,Ancient citadel with the Parthenon and other historic ruins.
Athens,Parthenon,37.9715,23.7267,Iconic temple dedicated to the goddess Athena.
Athens,Acropolis Museum,37.9681,23.7285,Museum housing artifacts found on the Acropolis site.
Athens,Ancient Agora,37.9751,23.7225,The ancient marketplace and heart of public life in Athens.
Athens,Plaka,37.9719,23.7303,Oldest neighborhood with neoclassical houses and tavernas.
Athens,Temple of Zeus,37.9693,23.7331,Ruined colossal temple dedicated to the king of Olympian gods.
Athens,Syntagma Square,37.9755,23.7348,Central square and home of the Hellenic Parliament.
Athens,National Archaeology Museum,37.9891,23.7327,Vast collection of ancient Greek antiquities.
Athens,Panathenaic Stadium,37.9683,23.7411,Marble stadium that hosted the first modern Olympic Games.
Athens,Lycabettus Hill,37.9819,23.7432,Highest point in Athens offering panoramic views.
Berlin,Brandenburg Gate,52.5163,13.3777,Neoclassical monument symbolizing German unity.
Berlin,Reichstag,52.5186,13.3761,Historic parliament building with a modern glass dome.
Berlin,East Side Gallery,52.505,13.4397,Longest remaining section of the Berlin Wall with murals.
Berlin,Museum Island,52.5169,13.3999,UNESCO site housing five world-renowned museums.
Berlin,Berlin Cathedral,52.519,13.4011,Grand 19th-century cathedral on the Spree river.
Berlin,TV Tower,52.5208,13.4094,Iconic landmark offering views from 203 meters up.
Berlin,Checkpoint Charlie,52.5074,13.3904,Famous former border crossing between East and West.
Berlin,Holocaust Memorial,52.5139,13.3786,Memorial to the murdered Jews of Europe.
Berlin,Charlottenburg Palace,52.5212,13.2958,Largest palace in Berlin with beautiful gardens.
Berlin,Potsdamer Platz,52.5094,13.3767,Public square and symbol of Berlin's urban renewal.
Bratislava,Bratislava Castle,48.1422,17.1002,Main castle of the city overlooking the Danube.
Bratislava,St. Martin's Cathedral,48.1415,17.1048,Gothic cathedral and former coronation site of kings.
Bratislava,Michael's Gate,48.1449,17.1068,The only city gate preserved from the medieval fortifications.
Bratislava,Grassalkovich Palace,48.1492,17.1077,The residence of the President of Slovakia.
Bratislava,Slavin Memorial,48.1539,17.0997,Monument and cemetery for Soviet soldiers.
Bratislava,UFO Observation Deck,48.1384,17.1046,Unique bridge structure with a deck offering city views.
Bratislava,Blue Church,48.1432,17.1166,Art Nouveau church famous for its blue color.
Bratislava,Primate's Palace,48.1442,17.1085,Neoclassical palace where the Peace of Pressburg was signed.
Bratislava,Old Town Hall,48.1439,17.1086,Complex of buildings dating back to the 14th century.
Bratislava,Eurovea,48.1402,17.1205,Modern riverside district for shopping and leisure.
Brussels,Grand Place,50.8467,4.3524,Central square known for its ornate guildhouses.
